"标题","链接","iframe代码","CMS代码"
"【伦敦之心字幕组】神舌- 麝香葡萄解散sp","https://www.fantasy.tv/video/list/channel/2108934/0/559535","<iframe height=350 width=100% src=""https://www.fantasy.tv/videoAd/videoAd.html?id=2108934&channelId=559535&code=330980496f2b5c73ab6f87834422013c"" frameborder=0 allowfullscreen allowfullscreen=""true"" ></iframe>","https://www.fantasy.tv/getEmbedTv/2108934/559535/330980496f2b5c73ab6f87834422013c"
"神舌 - 真的讨厌 后藤篇","https://www.fantasy.tv/video/list/channel/2108940/0/559535","<iframe height=350 width=100% src=""https://www.fantasy.tv/videoAd/videoAd.html?id=2108940&channelId=559535&code=b27ce98726013e25327d6a2a598e908c"" frameborder=0 allowfullscreen allowfullscreen=""true"" ></iframe>","https://www.fantasy.tv/getEmbedTv/2108940/559535/b27ce98726013e25327d6a2a598e908c"
"神舌 真的讨厌5 1 泽部","https://www.fantasy.tv/video/list/channel/2108949/0/559535","<iframe height=350 width=100% src=""https://www.fantasy.tv/videoAd/videoAd.html?id=2108949&channelId=559535&code=b3785d32573d8715d48cfc4e29529ff1"" frameborder=0 allowfullscreen allowfullscreen=""true"" ></iframe>","https://www.fantasy.tv/getEmbedTv/2108949/559535/b3785d32573d8715d48cfc4e29529ff1"
"神舌- 真的讨厌5分之1 狩野","https://www.fantasy.tv/video/list/channel/2108958/0/559535","<iframe height=350 width=100% src=""https://www.fantasy.tv/videoAd/videoAd.html?id=2108958&channelId=559535&code=00dcfce7ae3267c0974bacfb5a2a8796"" frameborder=0 allowfullscreen allowfullscreen=""true"" ></iframe>","https://www.fantasy.tv/getEmbedTv/2108958/559535/00dcfce7ae3267c0974bacfb5a2a8796"
"神舌-真的讨厌 若林篇","https://www.fantasy.tv/video/list/channel/2108971/0/559535","<iframe height=350 width=100% src=""https://www.fantasy.tv/videoAd/videoAd.html?id=2108971&channelId=559535&code=8378e053445cbd8dcc365b7e6b6d0d42"" frameborder=0 allowfullscreen allowfullscreen=""true"" ></iframe>","https://www.fantasy.tv/getEmbedTv/2108971/559535/8378e053445cbd8dcc365b7e6b6d0d42"
"【伦敦之心】神舌第十届严肃歌曲12.12.28","https://www.fantasy.tv/video/list/channel/2109003/0/559535","<iframe height=350 width=100% src=""https://www.fantasy.tv/videoAd/videoAd.html?id=2109003&channelId=559535&code=fae9ab56e3c559df4b5841b5b0485307"" frameborder=0 allowfullscreen allowfullscreen=""true"" ></iframe>","https://www.fantasy.tv/getEmbedTv/2109003/559535/fae9ab56e3c559df4b5841b5b0485307"
"【伦敦之心字幕组】 14.01.01 神舌第十一届严肃歌曲","https://www.fantasy.tv/video/list/channel/2109035/0/559535","<iframe height=350 width=100% src=""https://www.fantasy.tv/videoAd/videoAd.html?id=2109035&channelId=559535&code=2b1e8d8a33af15815702e9eb6641ae1a"" frameborder=0 allowfullscreen allowfullscreen=""true"" ></iframe>","https://www.fantasy.tv/getEmbedTv/2109035/559535/2b1e8d8a33af15815702e9eb6641ae1a"
"【伦敦之心字幕组】神舌 2014キス我慢选手権 THE MOVIE2","https://www.fantasy.tv/video/list/channel/2108817/0/559535","<iframe height=350 width=100% src=""https://www.fantasy.tv/videoAd/videoAd.html?id=2108817&channelId=559535&code=cf9ce99941af3df34f4f2de5e82a1f74"" frameborder=0 allowfullscreen allowfullscreen=""true"" ></iframe>","https://www.fantasy.tv/getEmbedTv/2108817/559535/cf9ce99941af3df34f4f2de5e82a1f74"
"神舌-第五届调情漫才 2014.08.30 720p","https://www.fantasy.tv/video/list/channel/2108890/0/559535","<iframe height=350 width=100% src=""https://www.fantasy.tv/videoAd/videoAd.html?id=2108890&channelId=559535&code=6c4cb68291f9d908a1646ceb27f4a555"" frameborder=0 allowfullscreen allowfullscreen=""true"" ></iframe>","https://www.fantasy.tv/getEmbedTv/2108890/559535/6c4cb68291f9d908a1646ceb27f4a555"
"【伦敦之心字幕组】ゴッドタン - 12.02.11【杰特西SP1】","https://www.fantasy.tv/video/list/channel/2109153/0/559535","<iframe height=350 width=100% src=""https://www.fantasy.tv/videoAd/videoAd.html?id=2109153&channelId=559535&code=c85d63e2e56264d0be243662d9ba312c"" frameborder=0 allowfullscreen allowfullscreen=""true"" ></iframe>","https://www.fantasy.tv/getEmbedTv/2109153/559535/c85d63e2e56264d0be243662d9ba312c"
"【伦敦之心字幕组】ゴッドタン - 13.03.09 后藤新曲发布❤","https://www.fantasy.tv/video/list/channel/2109158/0/559535","<iframe height=350 width=100% src=""https://www.fantasy.tv/videoAd/videoAd.html?id=2109158&channelId=559535&code=7b91f7e1415de2a1a671bde5f67cd88a"" frameborder=0 allowfullscreen allowfullscreen=""true"" ></iframe>","https://www.fantasy.tv/getEmbedTv/2109158/559535/7b91f7e1415de2a1a671bde5f67cd88a"
"【伦敦之心字幕组】神舌 严肃歌曲live #2","https://www.fantasy.tv/video/list/channel/2109160/0/559535","<iframe height=350 width=100% src=""https://www.fantasy.tv/videoAd/videoAd.html?id=2109160&channelId=559535&code=26b228c8bf39cee54f8b8c833295e0b3"" frameborder=0 allowfullscreen allowfullscreen=""true"" ></iframe>","https://www.fantasy.tv/getEmbedTv/2109160/559535/26b228c8bf39cee54f8b8c833295e0b3"
